date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:44	8907/8907	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:28%20GMT	http://wbpreview.com/previews/WB0DP4521/images/tn-model1.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/tn-model1.png	(from )
10:03:45	9953/9953	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:28%20GMT	http://wbpreview.com/previews/WB0DP4521/images/tn-model2.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/tn-model2.png	(from )
10:03:46	7913/7913	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:29%20GMT	http://wbpreview.com/previews/WB0DP4521/images/tn-model3.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/tn-model3.png	(from )
10:03:50	75918/75918	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:20%20GMT	http://wbpreview.com/previews/WB0DP4521/images/model1.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/model1.png	(from )
10:03:54	81509/81509	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:20%20GMT	http://wbpreview.com/previews/WB0DP4521/images/model2.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/model2.png	(from )
10:04:05	120756/120756	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:52:47%20GMT	http://wbpreview.com/previews/WB0DP4521/images/1.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/1.jpg	(from )
10:04:05	68409/68409	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Feb%202013%2019:53:29%20GMT	http://wbpreview.com/previews/WB0DP4521/images/t2.png	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/t2.png	(from )
10:04:07	109479/109479	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:52:56%20GMT	http://wbpreview.com/previews/WB0DP4521/images/7.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/7.jpg	(from )
10:04:08	16225/16225	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:52:49%20GMT	http://wbpreview.com/previews/WB0DP4521/images/4.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/4.jpg	(from )
10:04:08	3426/3426	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:53:05%20GMT	http://wbpreview.com/previews/WB0DP4521/images/client-logo-1.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/client-logo-1.jpg	(from )
10:04:09	3479/3479	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:53:05%20GMT	http://wbpreview.com/previews/WB0DP4521/images/client-logo-2.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/client-logo-2.jpg	(from )
10:04:09	19270/19270	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:52:49%20GMT	http://wbpreview.com/previews/WB0DP4521/images/5.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/5.jpg	(from )
10:04:09	4761/4761	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Feb%202013%2019:53:05%20GMT	http://wbpreview.com/previews/WB0DP4521/images/client-logo-4.jpg	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/images/client-logo-4.jpg	(from )
10:04:10	71/71	---MC-	200	added ('OK')	text/plain	date:Wed,%2027%20Feb%202013%2000:04:09%20GMT	http://fonts.googleapis.com/robots.txt		(from http://wbpreview.com/previews/WB0DP4521/index.html)
10:04:11	1105/1105	---MC-	403	error ('Forbidden')	text/html	date:Wed,%2027%20Feb%202013%2000:04:11%20GMT	http://placehold.it/940x413/&text=Banner+with+Caption	/home/michieljoris/websites/aabu/placehold.it/940x413/&text=Banner+with+Caption.49.delayed	(from http://wbpreview.com/previews/WB0DP4521/index.html)
10:04:13	16499/16499	---MC-	200	added ('OK')	text/css	date:Wed,%2020%20Feb%202013%2019:52:41%20GMT	http://wbpreview.com/previews/WB0DP4521/css/cslider.css	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/css/cslider.css	(from http://wbpreview.com/previews/WB0DP4521/index.html)
10:04:13	6841/6841	---MC-	200	added ('OK')	application/x-javascript	date:Wed,%2020%20Feb%202013%2019:53:35%20GMT	http://wbpreview.com/previews/WB0DP4521/js/jquery.cslider.js	/home/michieljoris/websites/aabu/wbpreview.com/previews/WB0DP4521/js/jquery.cslider.js	(from http://wbpreview.com/previews/WB0DP4521/index.html)
